id, name, label0, label1, label2, label3, label4, label5
0, Aparajita Sen, 0, 0, 1, 0, 0, 0
1, Wensheng Zhang 0002, 0, 1, 0, 0, 0, 0
2, Joseph C. Culberson, 0, 1, 0, 0, 0, 0
3, Arpad Kelemen, 0, 0, 0, 2, 0, 0
4, T. Loeliger, 1, 0, 0, 0, 0, 0
5, Mathew Weaver, 1, 0, 0, 0, 0, 0
6, Panayiotis Neophytou, 1, 0, 0, 0, 0, 0
7, Jonathan Huang, 0, 3, 0, 0, 0, 0
8, Chuck Kalish, 0, 2, 0, 0, 0, 0
9, Konstantinos Panagiotou, 0, 0, 0, 0, 6, 0
10, Ohad Ben-Shahar, 0, 0, 0, 0, 0, 6
11, Songyun Duan, 6, 0, 0, 0, 0, 0
12, Stefano Lonardi, 1, 0, 0, 8, 0, 0
13, Gabriele Röger, 0, 2, 0, 0, 0, 0
14, Jeff Cerwinske, 0, 0, 0, 1, 0, 0
15, Geoff Fernie, 0, 1, 0, 0, 0, 0
16, Sandra Zilles, 0, 0, 0, 1, 3, 0
17, Edward Farhi, 0, 0, 0, 0, 1, 0
18, Rasmus Larsen, 0, 0, 0, 0, 0, 4
19, Shing-hon Lau, 0, 1, 0, 0, 0, 0
20, Richard Sidle, 2, 0, 0, 0, 0, 0
21, Marc R. C. van Dongen, 0, 2, 0, 0, 0, 0
22, Christof Bornhövd, 3, 0, 0, 0, 0, 0
23, Dimitris Achlioptas, 1, 2, 0, 0, 14, 0
24, João B. D. Cabrera, 0, 0, 0, 1, 0, 0
25, Shengliang Xu, 0, 0, 1, 2, 0, 0
26, Tengfei Bao, 0, 0, 0, 1, 0, 0
27, MyungWon Ham, 1, 0, 0, 0, 0, 0
28, Tomohiro Shibata, 0, 0, 0, 1, 0, 0
29, Dana Pe'er, 0, 1, 0, 0, 0, 0
30, Chung-Min Chen, 5, 0, 0, 1, 0, 0
31, Anat Eyal, 4, 0, 0, 0, 0, 0
32, Baruch Awerbuch, 0, 0, 0, 0, 13, 0
33, Hung-Yu Kao, 0, 0, 0, 2, 0, 0
34, Anton Osokin, 0, 0, 0, 0, 0, 1
35, Himanshu Arora, 0, 0, 0, 0, 0, 3
36, Andrew Garland, 0, 2, 0, 0, 0, 0
37, Szymon Jaroszewicz, 0, 0, 0, 10, 0, 0
38, C. Couture, 0, 0, 0, 0, 0, 1
39, Viktor Zigo, 1, 0, 0, 0, 0, 0
40, Siddharth Barman, 0, 0, 0, 0, 2, 0
41, Ratthachat Chatpatanasiri, 0, 0, 0, 1, 0, 0
42, Swastik Kopparty, 1, 0, 0, 0, 8, 0
43, G. Neelakantan Kartha, 0, 1, 0, 0, 0, 0
44, Ming Yang, 0, 1, 0, 1, 0, 7
45, Yan Liu 0002, 0, 8, 1, 7, 0, 0
46, Sander van Dijk, 0, 0, 2, 0, 0, 0
47, Yan Liu 0004, 0, 0, 0, 1, 0, 0
48, Kien A. Hua, 3, 0, 0, 1, 0, 0
49, Chuong B. Do, 0, 3, 0, 0, 0, 0
50, Carlos Grandón, 0, 1, 0, 0, 0, 0
51, Christopher Moretti, 0, 0, 0, 1, 0, 0
52, Wei Wu, 1, 0, 0, 0, 0, 0
53, Jianping Zhang, 0, 0, 0, 5, 0, 0
54, Herman L. Ferrá, 0, 1, 0, 2, 0, 0
55, Jan Ramon, 0, 4, 0, 2, 0, 0
56, Mohamed Ben Hadj Rhouma, 0, 0, 0, 1, 0, 0
57, Liu Tang, 0, 0, 0, 1, 0, 0
58, Steffen Lange, 0, 0, 0, 0, 2, 0
59, Scott Kuindersma, 0, 1, 0, 0, 0, 0
60, Sachindra Joshi, 3, 1, 0, 4, 0, 0
61, Nam Nguyen, 0, 1, 1, 4, 0, 1
62, Gery Gutnik, 0, 1, 0, 0, 0, 0
63, Krishna Gade, 0, 0, 0, 1, 0, 0
64, Ruhul A. Sarker, 0, 0, 0, 1, 0, 0
65, David Thoenen, 0, 0, 0, 1, 0, 0
66, Shi-Yong Neo, 0, 0, 0, 0, 0, 1
67, Michael T. Hallett, 1, 0, 0, 0, 0, 0
68, Dirk-Jan J. de Lange, 0, 0, 0, 0, 0, 1
69, Francis C. M. Lau, 0, 2, 0, 0, 0, 0
70, Hedda Rahel Schmidtke, 0, 1, 0, 0, 0, 0
71, Samik Basu, 0, 1, 0, 0, 0, 0
72, Lawrence H. Staib, 0, 0, 0, 0, 0, 2
73, Joan Martí, 0, 0, 0, 0, 0, 1
74, Huaigu Cao, 0, 0, 0, 0, 0, 2
75, Marc Bron, 0, 0, 2, 0, 0, 0
76, Cristian Soto, 0, 0, 0, 0, 0, 1
77, H. Brendan McMahan, 0, 6, 0, 0, 4, 0
78, Aviv Regev, 0, 1, 0, 0, 0, 0
79, Vishy Vishwanathan, 0, 1, 0, 0, 0, 0
80, Shubir Kapoor, 0, 0, 0, 1, 0, 0
81, Yiu Sang Moon, 0, 0, 0, 0, 0, 2
82, Boris Aronov, 0, 0, 0, 0, 8, 0
83, Hisashi Kashima, 1, 6, 0, 13, 0, 0
84, Chieh-Yuan Tsai, 0, 0, 0, 1, 0, 0
85, ZhaoHui Tang, 0, 0, 0, 2, 0, 0
86, Charless Fowlkes, 0, 0, 0, 0, 0, 5
87, Qi Tian, 0, 0, 0, 1, 0, 2
88, Günter Neumann, 0, 1, 0, 0, 0, 0
89, Laurence Bisht, 0, 0, 0, 0, 2, 0
90, Michela Farenzena, 0, 0, 0, 0, 0, 4
91, Jayme Luiz Szwarcfiter, 0, 0, 0, 0, 1, 0
92, Stephane Chiocchetti, 0, 0, 0, 1, 0, 0
93, Ute Drechsler, 1, 0, 0, 0, 0, 0
